patient;data_format;num_trees;max_depth;f1 macro avg
chb03;21x14;003;:;0.41
chb03;21x14;005;:;0.42
chb03;21x14;007;:;0.48
chb03;21x14;009;:;0.51
chb03;21x14;003;:;0.41
chb03;21x14;005;:;0.43
chb03;21x14;007;:;0.49
chb03;21x14;009;:;0.53
chb03;21x14;003;:;0.41
chb03;21x14;005;:;0.45
chb03;21x14;007;:;0.50
chb03;21x14;009;:;0.55
chb03;21x14;003;:;0.42
chb03;21x14;005;:;0.47
chb03;21x14;007;:;0.52
chb03;21x14;009;:;0.62
chb03;21x14;003;:;0.44
chb03;21x14;005;:;0.49
chb03;21x14;007;:;0.57
chb03;21x14;009;:;0.71
chb03;pca136;003;:;0.33
chb03;pca136;005;:;0.33
chb03;pca136;007;:;0.40
chb03;pca136;009;:;0.47
chb03;pca136;003;:;0.33
chb03;pca136;005;:;0.35
chb03;pca136;007;:;0.42
chb03;pca136;009;:;0.49
chb03;pca136;003;:;0.34
chb03;pca136;005;:;0.37
chb03;pca136;007;:;0.45
chb03;pca136;009;:;0.52
chb03;pca136;003;:;0.36
chb03;pca136;005;:;0.39
chb03;pca136;007;:;0.47
chb03;pca136;009;:;0.62
chb03;pca136;003;:;0.37
chb03;pca136;005;:;0.42
chb03;pca136;007;:;0.53
chb03;pca136;009;:;0.73
