patient;data_format;num_trees;max_depth;f1 macro avg
chb04;pca136;0100;003;0.41
chb04;pca136;0100;005;0.49
chb04;pca136;0100;007;0.47
chb04;pca136;0100;009;0.52
chb04;pca136;0100;011;0.53
chb04;pca136;0200;003;0.56
chb04;pca136;0200;005;0.42
chb04;pca136;0200;007;0.46
chb04;pca136;0200;009;0.50
chb04;pca136;0200;011;0.52
chb04;pca136;0300;003;0.49
chb04;pca136;0300;005;0.40
chb04;pca136;0300;007;0.47
chb04;pca136;0300;009;0.49
chb04;pca136;0300;011;0.52
chb04;pca136;0500;003;0.86
chb04;pca136;0500;005;0.42
chb04;pca136;0500;007;0.47
chb04;pca136;0500;009;0.51
chb04;pca136;0500;011;0.52
chb04;pca136;0700;003;0.28
chb04;pca136;0700;005;0.47
chb04;pca136;0700;007;0.53
chb04;pca136;0700;009;0.50
chb04;pca136;0700;011;0.53
chb04;pca136;1000;003;0.56
chb04;pca136;1000;005;0.41
chb04;pca136;1000;007;0.54
chb04;pca136;1000;009;0.50
chb04;pca136;1000;011;0.51
