patient;data_format;num_trees;max_depth;f1 macro avg
chb10;pca136;0100;003;0.16
chb10;pca136;0100;005;0.20
chb10;pca136;0100;007;0.30
chb10;pca136;0100;009;0.43
chb10;pca136;0100;011;0.48
chb10;pca136;0200;003;0.16
chb10;pca136;0200;005;0.20
chb10;pca136;0200;007;0.29
chb10;pca136;0200;009;0.42
chb10;pca136;0200;011;0.48
chb10;pca136;0300;003;0.16
chb10;pca136;0300;005;0.19
chb10;pca136;0300;007;0.30
chb10;pca136;0300;009;0.44
chb10;pca136;0300;011;0.49
chb10;pca136;0500;003;0.16
chb10;pca136;0500;005;0.19
chb10;pca136;0500;007;0.29
chb10;pca136;0500;009;0.43
chb10;pca136;0500;011;0.49
chb10;pca136;0700;003;0.16
chb10;pca136;0700;005;0.19
chb10;pca136;0700;007;0.30
chb10;pca136;0700;009;0.43
chb10;pca136;0700;011;0.48
chb10;pca136;1000;003;0.16
chb10;pca136;1000;005;0.20
chb10;pca136;1000;007;0.29
chb10;pca136;1000;009;0.43
chb10;pca136;1000;011;0.48
