patient;data_format;num_trees;max_depth;f1 macro avg
chb16;pca136;0100;003;0.50
chb16;pca136;0100;005;0.61
chb16;pca136;0100;007;0.97
chb16;pca136;0100;009;1.00
chb16;pca136;0100;011;1.00
chb16;pca136;0200;003;0.50
chb16;pca136;0200;005;0.61
chb16;pca136;0200;007;0.97
chb16;pca136;0200;009;1.00
chb16;pca136;0200;011;1.00
chb16;pca136;0300;003;0.50
chb16;pca136;0300;005;0.61
chb16;pca136;0300;007;0.97
chb16;pca136;0300;009;1.00
chb16;pca136;0300;011;1.00
chb16;pca136;0500;003;0.50
chb16;pca136;0500;005;0.61
chb16;pca136;0500;007;1.00
chb16;pca136;0500;009;1.00
chb16;pca136;0500;011;1.00
chb16;pca136;0700;003;0.50
chb16;pca136;0700;005;0.61
chb16;pca136;0700;007;1.00
chb16;pca136;0700;009;1.00
chb16;pca136;0700;011;1.00
chb16;pca136;1000;003;0.50
chb16;pca136;1000;005;0.61
chb16;pca136;1000;007;1.00
chb16;pca136;1000;009;1.00
chb16;pca136;1000;011;1.00
