patient;data_format;num_trees;max_depth;f1 macro avg
chb21;pca136;0100;003;0.72
chb21;pca136;0100;005;0.61
chb21;pca136;0100;007;0.72
chb21;pca136;0100;009;0.66
chb21;pca136;0100;011;0.74
chb21;pca136;0200;003;0.71
chb21;pca136;0200;005;0.82
chb21;pca136;0200;007;0.92
chb21;pca136;0200;009;0.59
chb21;pca136;0200;011;0.97
chb21;pca136;0300;003;0.78
chb21;pca136;0300;005;0.59
chb21;pca136;0300;007;0.82
chb21;pca136;0300;009;0.94
chb21;pca136;0300;011;0.81
chb21;pca136;0500;003;0.74
chb21;pca136;0500;005;0.67
chb21;pca136;0500;007;0.86
chb21;pca136;0500;009;0.90
chb21;pca136;0500;011;0.91
chb21;pca136;0700;003;0.77
chb21;pca136;0700;005;0.82
chb21;pca136;0700;007;0.82
chb21;pca136;0700;009;0.74
chb21;pca136;0700;011;0.76
chb21;pca136;1000;003;0.98
chb21;pca136;1000;005;0.85
chb21;pca136;1000;007;0.60
chb21;pca136;1000;009;0.74
chb21;pca136;1000;011;0.89
